symbol,entry_date,exit_date,strategy,signal,pricing_source,option_symbol,strike,expiry,entry_price,exit_price,entry_delta,entry_gamma,entry_theta,entry_vega,entry_rho,entry_volatility,entry_dte,option_volume,option_open_interest,option_spread_pct,contracts,pnl,pnl_pct,gross_pnl,fees,net_pnl,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
AAPL,2026-03-26,2026-03-29,LONG_PUT,PUT,black_scholes_proxy,,248.8,BS_ENTRY_PROXY_EXIT,0.2608541069068906,1.5060578994840057,-0.2861640001315596,0.23358683676899045,-0.0004248701978630523,0.2426316690575353,-0.058732978635319656,0.02041596807533301,30,0,0,0.0,38,-4784.974411793038,-4.827233918255219,-4731.774411793038,53.2,-4784.974411793038,0.0,-4731.774411793038,3,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-03-26,2026-03-29,LONG_PUT,PUT,black_scholes_proxy,,356.77,BS_ENTRY_PROXY_EXIT,0.41630066223376616,0.06016012968828832,-0.29683393414135684,0.15647658632768496,-0.0011012745240950336,0.35391671678014336,-0.08738444658562655,0.02161955081104673,30,0,0,0.0,24,821.1372781091468,0.8218592079811656,854.7372781091468,33.6,821.1372781091468,854.7372781091468,0.0,3,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AMZN,2026-03-26,2026-03-29,LONG_PUT,PUT,black_scholes_proxy,,199.34,BS_ENTRY_PROXY_EXIT,0.320961771882196,0.03983257366452975,-0.32813378312592323,0.24332878809116104,-0.0017388260044806122,0.2064924488395131,-0.054025602822085246,0.025983244707534846,30,0,0,0.0,31,828.1005144747654,0.8322773040887619,871.5005144747654,43.400000000000006,828.1005144747654,871.5005144747654,0.0,3,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-29,2026-03-30,LONG_PUT,PUT,black_scholes_proxy,,246.63,BS_ENTRY_PROXY_EXIT,0.2617183623065529,4.986800775732605e-09,-0.28737145312797496,0.23461438969857495,-0.0004569117291727791,0.24099600339667768,-0.05846806014843206,0.020546365000202713,30,0,0,0.0,38,941.329757815058,0.9465073643919472,994.529757815058,53.2,941.329757815058,994.529757815058,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-03-29,2026-03-30,LONG_PUT,PUT,black_scholes_proxy,,358.96,BS_ENTRY_PROXY_EXIT,0.42699640298494046,6.8994660768456454e-09,-0.29874302458444457,0.15434770369043577,-0.001205486188410875,0.3571319879513879,-0.08849078836258943,0.02184781830048713,30,0,0,0.0,23,949.8917109965911,0.9672128223994434,982.0917109965911,32.2,949.8917109965911,982.0917109965911,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AMZN,2026-03-29,2026-03-30,LONG_PUT,PUT,black_scholes_proxy,,200.95,BS_ENTRY_PROXY_EXIT,0.3283997952012214,1.8130258934693393e-08,-0.32953775700996335,0.23964966283032846,-0.0018177734985344593,0.20851863722399,-0.05469781813672878,0.02621583194113673,30,0,0,0.0,30,943.1993312128874,0.9573689803257012,985.1993312128874,42.00000000000001,943.1993312128874,985.1993312128874,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-30,2026-03-31,LONG_PUT,PUT,black_scholes_proxy,,253.79,BS_ENTRY_PROXY_EXIT,0.2989548888934479,0.02861564685996143,-0.2977735558157488,0.21915414377998738,-0.0008170559902209632,0.25212412921837485,-0.06235964845427864,0.0217313808379256,30,0,0,0.0,33,845.9194987105053,0.857451246180656,892.1194987105054,46.2,845.9194987105053,892.1194987105054,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-03-30,2026-03-31,LONG_PUT,PUT,black_scholes_proxy,,370.17,BS_ENTRY_PROXY_EXIT,0.46237931496007434,0.7564461074552469,-0.3035717587146751,0.14675215313691622,-0.0015108438891001733,0.370955151945074,-0.09274153745619561,0.022444301652908512,30,0,0,0.0,21,-646.9402642398624,-0.6662642175543116,-617.5402642398624,29.400000000000002,-646.9402642398624,0.0,-617.5402642398624,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-03-31,2026-04-01,LONG_PUT,PUT,black_scholes_proxy,,369.37,BS_ENTRY_PROXY_EXIT,0.473078590142876,0.011238098095893712,-0.3060359297454833,0.14555353036586263,-0.0016517175751758835,0.37148592341826736,-0.09329882462484825,0.02275977629863977,30,0,0,0.0,21,940.4650332986628,0.9466513627508032,969.8650332986628,29.400000000000002,940.4650332986628,969.8650332986628,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-04-01,2026-04-05,LONG_PUT,PUT,black_scholes_proxy,,373.46,BS_ENTRY_PROXY_EXIT,0.4613836576030792,0.6631113504100483,-0.30248648687118773,0.146115193233514,-0.001461814386570048,0.37365288992535534,-0.0932284825023426,0.022307782053537964,30,0,0,0.0,21,-453.0281548946351,-0.46756682698232044,-423.62815489463514,29.400000000000002,-453.0281548946351,0.0,-423.62815489463514,4,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-04-05,2026-04-06,LONG_PUT,PUT,black_scholes_proxy,,372.88,BS_ENTRY_PROXY_EXIT,0.45046245762684123,0.6553240819781649,-0.3002730677588168,0.14767310977365877,-0.0013355311638189947,0.37184114483552483,-0.09239694572345297,0.02203380252551569,30,0,0,0.0,22,-481.4955735729122,-0.4858598550128823,-450.69557357291217,30.800000000000004,-481.4955735729122,0.0,-450.69557357291217,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
