symbol,entry_date,exit_date,strategy,signal,strike,expiry,entry_price,exit_price,contracts,pnl,pnl_pct,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
AAPL,2026-05-11,2026-05-26,LONG_CALL,CALL,294.8,STOCK_PROXY,294.8,310.85,1,1605.0000000000011,0.054443690637720525,1605.0000000000011,0.0,15,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AAPL,2026-05-12,2026-05-27,LONG_CALL,CALL,298.87,STOCK_PROXY,298.87,312.51,1,1363.9999999999986,0.045638571954361384,1363.9999999999986,-103.00000000000296,15,TIME_STOP,80.0,80.0,0.0,0.0,100.0
AAPL,2026-05-13,2026-05-28,LONG_CALL,CALL,298.21,STOCK_PROXY,298.21,312.06,1,1385.0000000000023,0.04644378122799377,1430.0000000000011,-37.000000000000455,15,TIME_STOP,80.0,80.0,0.0,0.0,100.0
AAPL,2026-05-14,2026-05-31,LONG_CALL,CALL,300.23,STOCK_PROXY,300.23,306.31,1,607.9999999999984,0.020251140792059367,1227.9999999999973,-239.00000000000432,17,TIME_STOP,80.0,80.0,0.0,0.0,100.0
AAPL,2026-05-17,2026-05-31,LONG_CALL,CALL,297.84,STOCK_PROXY,297.84,306.31,1,847.0000000000027,0.028438087563792736,1467.0000000000016,0.0,14,TIME_STOP,80.0,80.0,0.0,0.0,100.0
AAPL,2026-05-18,2026-05-31,LONG_CALL,CALL,298.97,STOCK_PROXY,298.97,306.31,1,733.9999999999975,0.02455095829012936,1353.9999999999964,0.0,13,TIME_STOP,80.0,80.0,0.0,0.0,100.0
AAPL,2026-05-19,2026-05-31,LONG_CALL,CALL,302.25,STOCK_PROXY,302.25,306.31,1,406.0000000000002,0.013432588916459891,1025.999999999999,0.0,12,TIME_STOP,80.0,80.0,0.0,0.0,100.0
AAPL,2026-05-20,2026-05-31,LONG_CALL,CALL,304.99,STOCK_PROXY,304.99,306.31,1,131.99999999999932,0.004328010754450943,751.9999999999982,0.0,11,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-05-21,2026-05-31,LONG_CALL,CALL,308.82,STOCK_PROXY,308.82,306.31,1,-250.9999999999991,-0.008127711935755427,368.9999999999998,-250.9999999999991,10,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-05-25,2026-05-31,LONG_CALL,CALL,308.33,STOCK_PROXY,308.33,306.31,1,-201.99999999999818,-0.006551422177536996,418.0000000000007,-201.99999999999818,6,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-05-26,2026-05-31,LONG_CALL,CALL,310.85,STOCK_PROXY,310.85,306.31,1,-454.00000000000205,-0.014605115007238283,165.99999999999682,-454.00000000000205,5,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-05-27,2026-05-31,LONG_CALL,CALL,312.51,STOCK_PROXY,312.51,306.31,1,-619.9999999999989,-0.019839365140315476,0.0,-619.9999999999989,4,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-05-28,2026-05-31,LONG_CALL,CALL,312.06,STOCK_PROXY,312.06,306.31,1,-575.0,-0.018425943728770107,0.0,-575.0,3,TIME_STOP,65.0,65.0,0.0,0.0,100.0
MSFT,2026-01-21,2026-01-22,LONG_PUT,PUT,451.14,STOCK_PROXY,451.14,465.95,1,-1481.0000000000002,-0.03282794697876491,0.0,-1481.0000000000002,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-01-28,2026-02-02,LONG_PUT,PUT,433.5,STOCK_PROXY,433.5,411.21,1,2229.000000000002,0.05141868512110731,2229.000000000002,0.0,5,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-01-29,2026-02-04,LONG_PUT,PUT,430.29,STOCK_PROXY,430.29,393.67,1,3662.0000000000005,0.08510539403657999,3662.0000000000005,0.0,6,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-01,2026-02-04,LONG_PUT,PUT,423.37,STOCK_PROXY,423.37,393.67,1,2969.999999999999,0.07015140420908422,2969.999999999999,0.0,3,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-02,2026-02-17,LONG_PUT,PUT,411.21,STOCK_PROXY,411.21,399.6,1,1160.9999999999957,0.028233749179251373,1753.9999999999964,-298.0000000000018,15,TIME_STOP,65.0,65.0,0.0,0.0,100.0
