symbol,asset_type,cadence,horizon_sessions,replayed_profile_count,native_not_eligible_count,matured_count,not_matured_count,directional_evaluable_count,directional_hit_count,directional_accuracy,mean_forward_return,median_forward_return,bullish_count,bullish_accuracy,bearish_count,bearish_accuracy,neutral_count,source_data_sha256,replay_result_sha256,outcome_sha256
AEE,EQUITY,WEEKLY,5,1136,0,1135,1,896,443,0.49441964285714285,0.0009218855652671391,0.0012874747103182038,608,0.5115131578947368,288,0.4583333333333333,239,9af5feef2a3632c66a1b92cfa94e682b2dbc2c69252338a1b489021a13b47d35,f020d4d0646b3e90f02de0610a8625d13b33a5ac7bf4fcfadb980e7ffd439415,9ae954ea0ef19ea8e226a0b4687f8def180f7fb12a4edce2ebe89048819d079d
AEE,EQUITY,WEEKLY,10,1136,0,1134,2,896,418,0.46651785714285715,0.0017133137936565102,0.003979675619379397,608,0.5148026315789473,288,0.3645833333333333,238,9af5feef2a3632c66a1b92cfa94e682b2dbc2c69252338a1b489021a13b47d35,f020d4d0646b3e90f02de0610a8625d13b33a5ac7bf4fcfadb980e7ffd439415,9ae954ea0ef19ea8e226a0b4687f8def180f7fb12a4edce2ebe89048819d079d
AEE,EQUITY,WEEKLY,20,1136,0,1132,4,896,440,0.49107142857142855,0.0037107538033524117,0.006587428092897474,608,0.5279605263157895,288,0.4131944444444444,236,9af5feef2a3632c66a1b92cfa94e682b2dbc2c69252338a1b489021a13b47d35,f020d4d0646b3e90f02de0610a8625d13b33a5ac7bf4fcfadb980e7ffd439415,9ae954ea0ef19ea8e226a0b4687f8def180f7fb12a4edce2ebe89048819d079d
AEP,EQUITY,WEEKLY,5,1136,0,1135,1,899,443,0.492769744160178,0.0015888737791518422,0.0022026431718060735,634,0.5252365930599369,265,0.41509433962264153,236,86888c93084df62493d2028ec129a8a00dc6f1d40b8f5555c254b383318619c0,84f0123fdae1786b42d3f53d331432c326312282f5e15f28fa659b262d33fb5a,51fa0c425ac635232d079a00731b6573c5b815286f52415eef5c51013be45158
AEP,EQUITY,WEEKLY,10,1136,0,1134,2,898,445,0.4955456570155902,0.0029864114779635815,0.004561759098823948,634,0.5299684542586751,264,0.4128787878787879,236,86888c93084df62493d2028ec129a8a00dc6f1d40b8f5555c254b383318619c0,84f0123fdae1786b42d3f53d331432c326312282f5e15f28fa659b262d33fb5a,51fa0c425ac635232d079a00731b6573c5b815286f52415eef5c51013be45158
AEP,EQUITY,WEEKLY,20,1136,0,1132,4,898,466,0.5189309576837416,0.006111572303112573,0.008869902081756198,634,0.5583596214511041,264,0.42424242424242425,234,86888c93084df62493d2028ec129a8a00dc6f1d40b8f5555c254b383318619c0,84f0123fdae1786b42d3f53d331432c326312282f5e15f28fa659b262d33fb5a,51fa0c425ac635232d079a00731b6573c5b815286f52415eef5c51013be45158
AES,EQUITY,WEEKLY,5,1136,0,1135,1,885,435,0.4915254237288136,0.0010143380058651365,0.0,517,0.4912959381044487,368,0.49184782608695654,250,000511d364512463149bfc6901b6889197a23b0255b6865b050141560abf4b44,5da566ee2e764d896192f0012be21a2292c4e0351e730b6c52b4d65caa72769a,4d3c7f4f3d1ae2a3769064cb55a71d670fec925c46c50b59540646f9dc723b69
AES,EQUITY,WEEKLY,10,1136,0,1134,2,884,439,0.49660633484162897,0.0017805277290286197,0.0016655256588454792,516,0.5038759689922481,368,0.48641304347826086,250,000511d364512463149bfc6901b6889197a23b0255b6865b050141560abf4b44,5da566ee2e764d896192f0012be21a2292c4e0351e730b6c52b4d65caa72769a,4d3c7f4f3d1ae2a3769064cb55a71d670fec925c46c50b59540646f9dc723b69
AES,EQUITY,WEEKLY,20,1136,0,1132,4,882,441,0.5,0.004058483105786211,0.004486393296528557,514,0.5077821011673151,368,0.4891304347826087,250,000511d364512463149bfc6901b6889197a23b0255b6865b050141560abf4b44,5da566ee2e764d896192f0012be21a2292c4e0351e730b6c52b4d65caa72769a,4d3c7f4f3d1ae2a3769064cb55a71d670fec925c46c50b59540646f9dc723b69
AFL,EQUITY,WEEKLY,5,1136,0,1135,1,924,449,0.48593073593073594,0.0023516930518002583,0.0018214936247722413,693,0.5108225108225108,231,0.41125541125541126,211,6b1b783be9ef224b24ee9cba807d35cc12550842513096eb2da54eda269d7ea5,79024c6cace39c5787abe13f55f341b809bba2d4d717e2a529ea138979e517ca,ae26c6b55921aa695b1d1499b90abc94d1862e8438e0d3c41343d8d97f96a945
AFL,EQUITY,WEEKLY,10,1136,0,1134,2,924,478,0.5173160173160173,0.004704711903685698,0.004554333357704721,693,0.5555555555555556,231,0.4025974025974026,210,6b1b783be9ef224b24ee9cba807d35cc12550842513096eb2da54eda269d7ea5,79024c6cace39c5787abe13f55f341b809bba2d4d717e2a529ea138979e517ca,ae26c6b55921aa695b1d1499b90abc94d1862e8438e0d3c41343d8d97f96a945
AFL,EQUITY,WEEKLY,20,1136,0,1132,4,922,470,0.5097613882863341,0.009701053541812051,0.013040815149426233,691,0.573082489146165,231,0.3203463203463203,210,6b1b783be9ef224b24ee9cba807d35cc12550842513096eb2da54eda269d7ea5,79024c6cace39c5787abe13f55f341b809bba2d4d717e2a529ea138979e517ca,ae26c6b55921aa695b1d1499b90abc94d1862e8438e0d3c41343d8d97f96a945
AGG,ETF,WEEKLY,5,1134,0,1133,1,876,433,0.4942922374429224,-2.9926056060826243e-05,0.0004237647258242827,490,0.5163265306122449,386,0.46632124352331605,257,2abf668149f970f210b2f2a4b5f29c853e45edb0e1e41a6dec0634dafc060d1f,3dca997f2c7d80349869aac3f61bd35e05e1a80c5232ddcb9334c3da29b8b564,78c2d4b326e46a499747be02bdd0aa8803a47e76d486379f2fa54fab130dc6f1
AGG,ETF,WEEKLY,10,1134,0,1132,2,875,440,0.5028571428571429,-0.00014932460728302857,0.00028350365517215703,490,0.5061224489795918,385,0.4987012987012987,257,2abf668149f970f210b2f2a4b5f29c853e45edb0e1e41a6dec0634dafc060d1f,3dca997f2c7d80349869aac3f61bd35e05e1a80c5232ddcb9334c3da29b8b564,78c2d4b326e46a499747be02bdd0aa8803a47e76d486379f2fa54fab130dc6f1
