symbol,rank,signal,strike,expiry,total_score,option_score,probability_of_profit,liquidity_score,delta_score,iv_score,dte_score,spread_score,spread_pct,delta,iv,open_interest,volume,bid,ask,gamma,theta,vega,rho,option_symbol
AMZN,8,CALL,200.0,2027-01-15,70.28086125838641,76.41974774252076,0.8136030294701393,70.0,65.50250625486072,100.0,80.0,35.0,-1.0,0.7949749374513929,0.40912139781374535,15026,0,0.0,0.0,0.003938461025204771,-0.06584387206099508,0.5269447210673815,0.0,O:AMZN270115C00200000
AMZN,9,CALL,260.0,2026-12-18,70.21532184527891,72.66422153687074,0.5075393820736702,70.0,99.45058501569571,100.0,90.0,35.0,-1.0,0.4554941498430429,0.3770398357973587,11960,0,0.0,0.0,0.006469849685914152,-0.08189012403556159,0.6790457039136539,0.0,O:AMZN261218C00260000
AMZN,10,CALL,230.0,2027-01-15,69.33465740271964,74.6993770958539,0.6754961107055384,70.0,80.7181306705295,100.0,80.0,35.0,-1.0,0.642818693294705,0.3820913127699393,11226,0,0.0,0.0,0.005536933213107198,-0.07597568405331738,0.665493784526311,0.0,O:AMZN270115C00230000
GOOGL,1,PUT,360.0,2026-08-21,68.30562125953406,65.55567501733466,0.3688143024370558,70.0,93.21241167940977,100.0,100.0,35.0,-1.0,-0.5178758832059024,0.3622962000970659,11874,0,0.0,0.0,0.0084040418539697,-0.16945995653182674,0.5350718500239541,0.0,O:GOOGL260821P00360000
GOOGL,2,PUT,350.0,2026-08-21,67.10936447229358,63.60720813144286,0.29422550412888293,68.75399999999999,98.59875186515016,100.0,100.0,35.0,-1.0,-0.43598751865150165,0.36640245171087105,9822,0,0.0,0.0,0.008225842152531535,-0.1728654121134646,0.5247105231786606,0.0,O:GOOGL260821P00350000
GOOGL,3,PUT,390.0,2026-08-21,62.94438697216075,61.517430858474086,0.6056661743463124,38.598,70.56513553848636,100.0,100.0,35.0,-1.0,-0.7443486446151365,0.36222638994863493,5514,0,0.0,0.0,0.00711718710984831,-0.13110594656517144,0.46776025323386927,0.0,O:GOOGL260821P00390000
GOOGL,4,PUT,330.0,2027-01-15,62.21184047505239,61.74880086373162,0.30691670880694316,70.0,87.88853004581557,100.0,80.0,35.0,-1.0,-0.3288853004581557,0.3555684116797621,11353,0,0.0,0.0,0.004018230135344271,-0.07387707184890398,0.9631963794417819,0.0,O:GOOGL270115P00330000
GOOGL,5,PUT,320.0,2026-08-21,60.70895089812904,51.74354708750734,0.1260363810208741,70.0,76.80836738668948,100.0,100.0,35.0,-1.0,-0.21808367386689484,0.3866404465950082,17574,0,0.0,0.0,0.005780742632294222,-0.13994849661343453,0.43024073673574037,0.0,O:GOOGL260821P00320000
GOOGL,6,PUT,350.0,2026-12-18,59.08978765779911,58.59725028690747,0.3831806881370204,36.113,96.96709104570662,100.0,90.0,35.0,-1.0,-0.41967091045706617,0.3603355840580684,5159,0,0.0,0.0,0.00469486791975874,-0.08755700034686492,0.935675388923241,0.0,O:GOOGL261218P00350000
GOOGL,7,PUT,300.0,2027-01-15,58.2366232003733,54.52113309158782,0.19863573542195373,70.0,76.30281469883869,100.0,80.0,35.0,-1.0,-0.21302814698838685,0.3656062065479233,12851,0,0.0,0.0,0.003104178412478257,-0.06272316457668965,0.7852486266433033,0.0,O:GOOGL270115P00300000
GOOGL,8,PUT,400.0,2026-10-16,57.46651074377111,56.44365589776565,0.6310814434950355,11.725,73.07659263185691,100.0,100.0,35.0,-1.0,-0.7192340736814309,0.33918030703397595,1675,0,0.0,0.0,0.005693023730957948,-0.08304066668916237,0.6950580758620565,0.0,O:GOOGL261016P00400000
GOOGL,9,PUT,430.0,2026-08-21,56.91329368071186,57.23871578311247,0.8536500984670657,1.8199999999999998,50.55084737771936,100.0,100.0,35.0,-1.0,-0.9444915262228064,0.34553170224117524,260,0,0.0,0.0,0.003624246022905506,-0.035426735453011164,0.12324420460998194,0.0,O:GOOGL260821P00430000
GOOGL,10,PUT,440.0,2026-09-18,56.68243529111364,57.05442780202479,0.863111080145795,0.5249999999999999,49.594938384771936,100.0,100.0,35.0,-1.0,-0.9540506161522807,0.3107492331849368,75,0,0.0,0.0,0.003444947372129455,-0.017033907187110568,0.13595506538353783,0.0,O:GOOGL260918P00440000
META,1,PUT,550.0,2026-09-18,63.44457669975462,59.71595763591748,0.31435021822746534,53.50799999999999,95.05979562727549,100.0,100.0,35.0,-1.0,-0.40059795627275496,0.39529416503692316,7644,0,0.0,0.0,0.003770151311279036,-0.23298537025055258,1.0218501510153235,0.0,O:META260918P00550000
META,2,PUT,650.0,2026-09-18,60.974271574799786,60.41467559054506,0.6745470679777211,24.961999999999996,68.76917148574483,100.0,100.0,35.0,-1.0,-0.7623082851425516,0.3813562474353527,3566,0,0.0,0.0,0.0033421288895317267,-0.1636865788331032,0.7531100047841942,0.0,O:META260918P00650000
META,3,PUT,580.0,2026-09-18,60.87226147108273,58.68283903833224,0.4237698569629671,33.467,93.46117903925423,100.0,100.0,35.0,-1.0,-0.5153882096074577,0.3927823010428821,4781,0,0.0,0.0,0.003938318609136764,-0.23371762599429208,1.0592925148979173,0.0,O:META260918P00580000
META,4,PUT,600.0,2026-09-18,60.58730065850671,58.803637560921295,0.4982424643181663,29.952999999999996,85.54275595277858,100.0,100.0,35.0,-1.0,-0.5945724404722142,0.3869743185127639,4279,0,0.0,0.0,0.0039767046957546355,-0.22335982109545274,1.0715989926953455,0.0,O:META260918P00600000
META,5,PUT,600.0,2026-08-21,60.44775823059816,58.342469510178475,0.4979100723745977,31.094,82.61026646077825,100.0,100.0,35.0,-1.0,-0.6238973353922175,0.40794516413723203,4442,0,0.0,0.0,0.004524471418926024,-0.29085112120371565,0.7676831985419506,0.0,O:META260821P00600000
