symbol,relative_path,sha256,fieldnames,date_candidates,close_candidates
BR,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BR.daily.csv.gz,33705b13789924fca27c0c4b2a08957bd694803c47c96d7bee6ddb8ff4dd0dd0,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BRK.B,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BRK.B.daily.csv.gz,efbc8cae1edf10c8edd5bc6c545250e895906b9bf6d45f5ddc4c119f9fa604c9,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BRO,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BRO.daily.csv.gz,e32b5f6b4168972f83ac196ed97c9888e6ce67b5c01a4bf3653c1448db22d65e,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BSX,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BSX.daily.csv.gz,b3c51268bfe339a72999a0dac2fe19ce8d80b85505bdbb9b1cde24a42e69c115,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BX,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BX.daily.csv.gz,14fe3bd88676a8ef0ef2e15ed1496979e3cf86f3ecf266ea1ff991d5c91d10c7,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
BXP,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/BXP.daily.csv.gz,90b0d39547350207162f3c07bf38813c716efbb0fc228c7dbe9946eac5a1407f,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
C,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/C.daily.csv.gz,a83ab2952688149d6821993ce6c462daef37a4ffbc8258522486c79c6ddb9214,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CAH,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CAH.daily.csv.gz,f20d838bf875ea006dc195bb005859cae441cebd90f2b257c47ed8d41975b57c,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CARR,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CARR.daily.csv.gz,852d5b0353f297f677f8ba0b2db53c833a4e625d721d056a445356ecae283201,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CASY,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CASY.daily.csv.gz,c682efaa95a2680c6bb9d67609b6f12aef12b300d99e0069c17af6839e7411e8,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CAT,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CAT.daily.csv.gz,3730fa004e841e286f3c80d9c4a77162244054a840974ebe600356c087001e7e,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CB,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CB.daily.csv.gz,8405fa7ef66ccfc8c1a896473f2f957e429eb72b3feac9365ad910a75fa9950c,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CBOE,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CBOE.daily.csv.gz,2a2a2363190ee82796f72cfb87c48e5a363b657fd73e241d927c309f0b9b861e,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CBRE,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CBRE.daily.csv.gz,69438cfe5671c48b28ef9f77b2cfbdd32df74a9f92e74f372fbebb8191b05b78,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CCEP,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CCEP.daily.csv.gz,cb5ccbd15305ea732d6654c229272f98819b56c06857dde3113ecc921820f34a,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CCI,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CCI.daily.csv.gz,019d0df9b77964aea8415a7dff76925401af9b07eb1b9abacb8eaf45f0e29212,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
CCL,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/CCL.daily.csv.gz,fbb1dcc189db395e0f1f6e20896960709996d82085f15ff101355b8a349806cd,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
