component_path,state,horizon_sessions,count,accuracy,accuracy_risk_difference_vs_all_bearish,mean_directional_return,mean_return_difference_vs_all_bearish,odds_ratio_correct_vs_all_other_bearish
participation.state,SHORT_COVERING,10,62,0.3548387096774194,-0.08653263720075949,-0.030425464011833322,-0.002555439590621468,0.7030413647413546
participation.state,ACCUMULATION,20,5596,0.43459614010007147,0.00743199181934312,-0.014457728291150319,0.033198020718521265,1.032073812776169
participation.state,CAPITULATION,20,3262,0.42244022072348253,-0.004723927557245822,-0.51745210326495,-0.4697963542552784,0.9805111233618343
participation.state,DISTRIBUTION,20,42512,0.4296904403462552,0.0025262920655268473,-0.023427838154982655,0.024227910854688926,1.0147001825528261
participation.state,NEUTRAL,20,47111,0.4262061938825327,-0.0009579543981956262,-0.03739477076092711,0.010260978248744473,0.9942253405360638
participation.state,RE_ACCUMULATION,20,12514,0.4347930318043791,0.007628883523650765,-0.01562486593221884,0.03203088307745274,1.0346544686235872
participation.state,RE_DISTRIBUTION,20,34209,0.4218480516823058,-0.005316096598422526,-0.06428065738105566,-0.016624908371384084,0.9719578205657995
participation.state,SHORT_COVERING,20,61,0.39344262295081966,-0.033721525329908686,-0.0279063923835735,0.01974935662609808,0.8760808338102646
participation.score,0-20,5,16030,0.4550218340611354,-0.006314796201932149,-0.011909536998012747,0.012665919975648268,0.9718332894475104
participation.score,20-40,5,54959,0.45200967994323044,-0.009326950319837102,-0.03532132724755328,-0.010745870273892268,0.941454001651984
participation.score,40-60,5,59283,0.4663394227687533,0.005002792505685749,-0.023741490789321813,0.0008339661843392021,1.0345355276283577
participation.score,60-80,5,14001,0.4805371044925362,0.01920047422946869,-0.0026754560713401635,0.021900000902320853,1.089043423059627
participation.score,80-100,5,1317,0.49810174639331817,0.03676511613025063,-0.0006683520127062712,0.023907104960954745,1.1603539056680183
participation.score,0-20,10,16022,0.43302958432155786,-0.008341762556621002,-0.019718186996067134,0.00815183742514472,0.9626424492951111
participation.score,20-40,10,54911,0.43384749867968164,-0.007523848198497218,-0.038011558830961946,-0.010141534409750092,0.9521349961690211
participation.score,40-60,10,59246,0.44499206697498567,0.0036207200968068065,-0.026393062089920424,0.0014769623312914301,1.0250761985816559
participation.score,60-80,10,13996,0.4647756501857674,0.023404303307588525,-0.004778249427979914,0.02309177499323194,1.1102494317670761
participation.score,80-100,10,1317,0.44495064540622625,0.003579298528047392,-0.016042793089972803,0.01182723133123905,1.0149149081368363
participation.score,0-20,20,16001,0.44222236110243107,0.015058212821702721,-0.03283734068997531,0.014818408319696268,1.071347741425748
participation.score,20-40,20,54816,0.4218476357267951,-0.005316512553933228,-0.07644073549993945,-0.028784986490267866,0.9656876582559679
participation.score,40-60,20,59147,0.42568515731989787,-0.001478990960830484,-0.03331048501197829,0.014345263997693293,0.9898566182113585
participation.score,60-80,20,13985,0.435538076510547,0.008373928229818639,-0.01465020082906575,0.03300554818060583,1.0385267823502928
participation.score,80-100,20,1316,0.4430091185410334,0.01584497026030507,-0.024322506646614523,0.023333242363057057,1.067412653200198
participation.conviction,0-20,5,59257,0.46639215620095514,0.005055525937887606,-0.023744180403760282,0.0008312765699007331,1.0348950548441194
participation.conviction,20-40,5,44237,0.45959264868775007,-0.001743981575317466,-0.04265572280877044,-0.018080265835109424,0.9899702866854491
participation.conviction,40-60,5,24737,0.4544609289727938,-0.006875701290273761,-0.0037221068260019493,0.020853350147659065,0.9671946048770939
participation.conviction,60-80,5,10839,0.4572377525601993,-0.004098877702868264,-0.006691362078773727,0.01788409489488729,0.982340823242251
participation.conviction,80-100,5,6520,0.4601226993865031,-0.0012139308765644619,-0.01830816604164589,0.0062672909320151265,0.994921556760378
participation.conviction,0-20,10,59220,0.4450354609929078,0.0036641141147289447,-0.02639705717039666,0.0014729672508151936,1.0253726737579567
