family,state,horizon_sessions,count,accuracy,mean,median,p25,p75,eligible_for_interpretation
OVERLAY::DRAWDOWN_63_GE_15PCT,ESTABLISHED::False,20,33764,0.42160289065276624,-0.010223896072024194,-0.011488737803431737,-0.053787047200878346,0.030581879778418752,True
OVERLAY::DRAWDOWN_63_GE_15PCT,ESTABLISHED::True,5,34627,0.46400207930227855,-0.004791259102037765,-0.00456366874443459,-0.04114942528735632,0.031175059952038398,True
OVERLAY::DRAWDOWN_63_GE_15PCT,ESTABLISHED::True,10,34610,0.4353366079167871,-0.010056380515374132,-0.01155093674444041,-0.060862407974758614,0.03918918918918923,True
OVERLAY::DRAWDOWN_63_GE_15PCT,ESTABLISHED::True,20,34560,0.424681712962963,-0.022014258002666987,-0.019112271606244402,-0.09217527386541491,0.05380547252241907,True
OVERLAY::DRAWDOWN_63_GE_15PCT,PERSISTENT_LATE::False,5,7782,0.45823695708044204,-0.002625337981541058,-0.0019146696554829257,-0.02036021926389986,0.014535310527088563,True
OVERLAY::DRAWDOWN_63_GE_15PCT,PERSISTENT_LATE::False,10,7773,0.4429435224495047,-0.0043350633208016015,-0.0044136415201361245,-0.030558255048050986,0.019448946515397192,True
OVERLAY::DRAWDOWN_63_GE_15PCT,PERSISTENT_LATE::False,20,7754,0.42455506835181844,-0.008382163532573983,-0.008366653031415261,-0.047750527854474756,0.02578492340360994,True
OVERLAY::DRAWDOWN_63_GE_15PCT,PERSISTENT_LATE::True,5,17599,0.46195806579919313,-0.011456192319705008,-0.0045757071547420924,-0.04337899543378998,0.032166508987701126,True
OVERLAY::DRAWDOWN_63_GE_15PCT,PERSISTENT_LATE::True,10,17587,0.4349803832376187,-0.021592529897284368,-0.012316715542522116,-0.06431005110732535,0.04039603960396043,True
OVERLAY::DRAWDOWN_63_GE_15PCT,PERSISTENT_LATE::True,20,17555,0.41293078894901736,-0.13557423146220754,-0.0243084660519699,-0.10063197525884071,0.05149210064365117,True
OVERLAY::PRIOR_20_DECLINE_GE_10PCT,EARLY_TRANSITION::False,5,41298,0.4611845609956899,-0.03335771951229246,-0.0030282397281943263,-0.027531645569620178,0.020551286227633914,True
OVERLAY::PRIOR_20_DECLINE_GE_10PCT,EARLY_TRANSITION::False,10,41271,0.4463182379879334,-0.03554298209881772,-0.005887201224537897,-0.03966076328261403,0.026531071668207562,True
OVERLAY::PRIOR_20_DECLINE_GE_10PCT,EARLY_TRANSITION::False,20,41204,0.4365595573245316,-0.03879759060936862,-0.010807491106665124,-0.06104276508494455,0.037816764132553526,True
OVERLAY::PRIOR_20_DECLINE_GE_10PCT,EARLY_TRANSITION::True,5,10456,0.4746557000765111,-0.16535613974092367,-0.0028907833990904352,-0.03832938840955946,0.03294623707593114,True
OVERLAY::PRIOR_20_DECLINE_GE_10PCT,EARLY_TRANSITION::True,10,10452,0.4601990049751244,-0.15989689696153694,-0.007351502425609668,-0.05491585473870697,0.04433312460864114,True
OVERLAY::PRIOR_20_DECLINE_GE_10PCT,EARLY_TRANSITION::True,20,10428,0.44217491369390105,-0.17003098806318087,-0.014841170237005818,-0.0845105328376703,0.05467424922677844,True
OVERLAY::PRIOR_20_DECLINE_GE_10PCT,ESTABLISHED::False,5,48794,0.45669549534778864,-0.003190175280873452,-0.003255454470266095,-0.026548672566371723,0.01979017644253689,True
OVERLAY::PRIOR_20_DECLINE_GE_10PCT,ESTABLISHED::False,10,48758,0.4413224496492883,-0.0059388969037113375,-0.006549397951840841,-0.04043545878693644,0.0271784813673297,True
OVERLAY::PRIOR_20_DECLINE_GE_10PCT,ESTABLISHED::False,20,48700,0.42501026694045174,-0.013613304537599343,-0.012378823801367789,-0.061074061074061214,0.03594584286803959,True
OVERLAY::PRIOR_20_DECLINE_GE_10PCT,ESTABLISHED::True,5,19661,0.46676160927724936,-0.004763774059499853,-0.004459308807134965,-0.04481132075471694,0.03558535327488399,True
OVERLAY::PRIOR_20_DECLINE_GE_10PCT,ESTABLISHED::True,10,19651,0.42618696249554733,-0.010875568984852608,-0.013664596273291973,-0.06679511881824007,0.040876527602191404,True
OVERLAY::PRIOR_20_DECLINE_GE_10PCT,ESTABLISHED::True,20,19624,0.4185690990623726,-0.02257666390985059,-0.022151706616539646,-0.10025957170668387,0.05570152390961647,True
OVERLAY::PRIOR_20_DECLINE_GE_10PCT,PERSISTENT_LATE::False,5,19336,0.463539511791477,-0.0049013067163310225,-0.0025296473671569952,-0.028855721393034717,0.022394492690867462,True
OVERLAY::PRIOR_20_DECLINE_GE_10PCT,PERSISTENT_LATE::False,10,19320,0.44135610766045547,-0.010245673663207285,-0.006920450476426754,-0.04466853543995053,0.02915539525097699,True
OVERLAY::PRIOR_20_DECLINE_GE_10PCT,PERSISTENT_LATE::False,20,19274,0.4190100653730414,-0.020519744422465645,-0.01473775825131518,-0.07057231245166284,0.036717062634989195,True
OVERLAY::PRIOR_20_DECLINE_GE_10PCT,PERSISTENT_LATE::True,5,6045,0.4521091811414392,-0.021054796052913858,-0.0073260073260073,-0.05702217529039055,0.037522334723049444,True
OVERLAY::PRIOR_20_DECLINE_GE_10PCT,PERSISTENT_LATE::True,10,6040,0.4248344370860927,-0.03567845286804077,-0.017255333131129258,-0.08282950423216451,0.04581424406497292,True
OVERLAY::PRIOR_20_DECLINE_GE_10PCT,PERSISTENT_LATE::True,20,6035,0.4084507042253521,-0.3396028790972707,-0.030546623794212246,-0.1258405379442844,0.06517690875232784,True
OVERLAY::STRONG_BEARISH_ALIGNMENT_2PLUS,EARLY_TRANSITION::False,5,31922,0.46309755027880456,-0.002396100370858207,-0.0026229221917631884,-0.02535575679172064,0.0190489057011618,True
OVERLAY::STRONG_BEARISH_ALIGNMENT_2PLUS,EARLY_TRANSITION::False,10,31902,0.4454893110149834,-0.00477559232540697,-0.005532753758195064,-0.0370493991989318,0.02469599341117179,True
OVERLAY::STRONG_BEARISH_ALIGNMENT_2PLUS,EARLY_TRANSITION::False,20,31842,0.43609069782048865,-0.009668459609364865,-0.010135791854795184,-0.056539297918608344,0.0350113942407293,True
OVERLAY::STRONG_BEARISH_ALIGNMENT_2PLUS,EARLY_TRANSITION::True,5,19832,0.46520774505849133,-0.15278754444893183,-0.00390625,-0.038118131868131844,0.028961926456231746,True
OVERLAY::STRONG_BEARISH_ALIGNMENT_2PLUS,EARLY_TRANSITION::True,10,19821,0.4549719993945815,-0.15063749734509646,-0.007448789571694592,-0.05299539170506917,0.03813914501257332,True
OVERLAY::STRONG_BEARISH_ALIGNMENT_2PLUS,EARLY_TRANSITION::True,20,19790,0.44027286508337543,-0.15481738130924097,-0.014302444789763835,-0.08201892744479489,0.05363670272286469,True
OVERLAY::STRONG_BEARISH_ALIGNMENT_2PLUS,ESTABLISHED::False,5,24107,0.455593810926287,-0.0029753096775653972,-0.002774108322324942,-0.023049916043351937,0.016967126193001114,True
OVERLAY::STRONG_BEARISH_ALIGNMENT_2PLUS,ESTABLISHED::False,10,24082,0.44153309525786893,-0.005289621131699612,-0.00537032920154068,-0.03590724898694275,0.023762848866244135,True
OVERLAY::STRONG_BEARISH_ALIGNMENT_2PLUS,ESTABLISHED::False,20,24047,0.42425250551004284,-0.012002595113260956,-0.010432190760059745,-0.053684818164325465,0.030704559992689506,True
OVERLAY::STRONG_BEARISH_ALIGNMENT_2PLUS,ESTABLISHED::True,5,44348,0.46175701271759717,-0.00400460413190441,-0.0041886588256200286,-0.035869565217391264,0.02760852208261544,True
OVERLAY::STRONG_BEARISH_ALIGNMENT_2PLUS,ESTABLISHED::True,10,44327,0.43449816139147696,-0.008480156231166242,-0.010171790235081302,-0.05363640080127552,0.034415450996507224,True
OVERLAY::STRONG_BEARISH_ALIGNMENT_2PLUS,ESTABLISHED::True,20,44277,0.42256702125256906,-0.01846073534474806,-0.017429938482570018,-0.08136180034622043,0.04722354057902234,True
OVERLAY::STRONG_BEARISH_ALIGNMENT_2PLUS,PERSISTENT_LATE::False,5,3931,0.4439074026965149,-0.003746589427845495,-0.002205363443895658,-0.022369668246445595,0.013549579141860058,True
OVERLAY::STRONG_BEARISH_ALIGNMENT_2PLUS,PERSISTENT_LATE::False,10,3929,0.44006108424535506,-0.00600606879313471,-0.0035906642728904536,-0.03344568317345087,0.018236840009556388,True
OVERLAY::STRONG_BEARISH_ALIGNMENT_2PLUS,PERSISTENT_LATE::False,20,3920,0.41556122448979593,-0.012992366824912354,-0.007592305659344989,-0.05343925321766996,0.021918453924110293,True
OVERLAY::STRONG_BEARISH_ALIGNMENT_2PLUS,PERSISTENT_LATE::True,5,21450,0.4639160839160839,-0.009665271131281133,-0.003636966007089959,-0.03685018644439575,0.027904406686006245,True
OVERLAY::STRONG_BEARISH_ALIGNMENT_2PLUS,PERSISTENT_LATE::True,10,21431,0.43693714712332604,-0.018190771602253967,-0.009996775233795496,-0.05569383945239581,0.035295907500380475,True
OVERLAY::STRONG_BEARISH_ALIGNMENT_2PLUS,PERSISTENT_LATE::True,20,21389,0.41666277058300993,-0.1119300038055531,-0.019969701143093266,-0.08619749045280978,0.045228215767634805,True
