balanced_accuracy,elapsed_seconds,family,fold_id,horizon,l2_penalty,spline_knots,status,test_count,train_count
0.5000415644873021,217.24530495796353,MF2_MONOTONIC_GAM_DIRECTION,WF4,20,10.0,4,EVALUATED,52707,221567
0.4989757476149546,776.9381518330192,MF2_MONOTONIC_GAM_DIRECTION,WF4,20,0.1,6,EVALUATED,52707,221567
0.5003260508273671,334.83566704101395,MF2_MONOTONIC_GAM_DIRECTION,WF4,20,1.0,6,EVALUATED,52707,221567
0.5001039112182551,247.2968279159395,MF2_MONOTONIC_GAM_DIRECTION,WF4,20,10.0,6,EVALUATED,52707,221567
0.4984597135075147,929.6350674579153,MF2_MONOTONIC_GAM_DIRECTION,WF4,20,0.1,8,EVALUATED,52707,221567
0.5002189070735874,366.74260333296843,MF2_MONOTONIC_GAM_DIRECTION,WF4,20,1.0,8,EVALUATED,52707,221567
0.5002078224365103,256.2385275840061,MF2_MONOTONIC_GAM_DIRECTION,WF4,20,10.0,8,EVALUATED,52707,221567
0.5020806175684468,844.2271712499205,MF2_MONOTONIC_GAM_DIRECTION,WF5,20,0.1,4,EVALUATED,24266,273671
0.5001325775854272,362.1054920828901,MF2_MONOTONIC_GAM_DIRECTION,WF5,20,1.0,4,EVALUATED,24266,273671
0.5,286.2301365840249,MF2_MONOTONIC_GAM_DIRECTION,WF5,20,10.0,4,EVALUATED,24266,273671
0.5026540439208773,1054.6247640419751,MF2_MONOTONIC_GAM_DIRECTION,WF5,20,0.1,6,EVALUATED,24266,273671
0.5002078748409197,463.1906795420218,MF2_MONOTONIC_GAM_DIRECTION,WF5,20,1.0,6,EVALUATED,24266,273671
0.5,330.8472734579118,MF2_MONOTONIC_GAM_DIRECTION,WF5,20,10.0,6,EVALUATED,24266,273671
0.5027010125379442,1192.032407041057,MF2_MONOTONIC_GAM_DIRECTION,WF5,20,0.1,8,EVALUATED,24266,273671
0.5002831720964122,489.92735529108904,MF2_MONOTONIC_GAM_DIRECTION,WF5,20,1.0,8,EVALUATED,24266,273671
0.5,340.9102297920035,MF2_MONOTONIC_GAM_DIRECTION,WF5,20,10.0,8,EVALUATED,24266,273671
