symbol,asset_type,horizon_sessions,directional_evaluable_count,directional_hit_count,directional_accuracy,bullish_count,bullish_accuracy,bearish_count,bearish_accuracy,neutral_count,always_bullish_accuracy,previous_period_direction_accuracy,edge_vs_random_50_50,edge_vs_always_bullish,edge_vs_previous_period_direction,mean_directional_return,median_directional_return,payoff_ratio
MPC,EQUITY,20,565,301,0.5327433628318584,418,0.5909090909090909,147,0.3673469387755102,160,0.5958620689655172,0.5124309392265194,0.032743362831858414,-0.06311870613365878,0.020312423605339025,0.0054942779005719465,0.008727719729563654,1.000613850775013
MPWR,EQUITY,5,824,439,0.5327669902912622,635,0.5590551181102362,189,0.4444444444444444,177,0.5564435564435565,0.5,0.03276699029126218,-0.0236765661522943,0.03276699029126218,-0.00018173047513794405,0.003189138386506807,0.8694065262388465
MPWR,EQUITY,10,823,441,0.5358444714459295,634,0.582018927444795,189,0.38095238095238093,177,0.59,0.54,0.035844471445929504,-0.054155528554070465,-0.004155528554070531,-0.00020159439568711096,0.004437303955320715,0.8603636325567426
MPWR,EQUITY,20,822,453,0.551094890510949,633,0.6050552922590837,189,0.37037037037037035,176,0.6142284569138277,0.5035175879396985,0.051094890510948954,-0.0631335664028787,0.04757730257125048,-0.00013645375316551767,0.013314690370915705,0.8120358554190793
MRK,EQUITY,5,869,419,0.48216340621403914,566,0.4929328621908127,303,0.46204620462046203,266,0.518942731277533,0.48849557522123893,-0.017836593785960864,-0.03677932506349385,-0.006332169007199795,-0.0002714903658542889,-0.0011746280344557825,1.0501197959181687
MRK,EQUITY,10,868,409,0.47119815668202764,565,0.49734513274336284,303,0.42244224422442245,266,0.5238095238095238,0.47957371225577267,-0.028801843317972364,-0.0526113671274962,-0.00837555557374503,-0.000954380986163562,-0.0023300331547203568,1.0611805321249617
MRK,EQUITY,20,866,408,0.47113163972286376,563,0.4955595026642984,303,0.42574257425742573,266,0.5371024734982333,0.46194690265486726,-0.02886836027713624,-0.0659708337753695,0.009184737067996496,-0.001110517439497943,-0.0032754551633260576,1.069770986723396
MRNA,EQUITY,5,272,134,0.49264705882352944,127,0.5118110236220472,145,0.47586206896551725,67,0.5339233038348082,0.49554896142433236,-0.007352941176470562,-0.0412762450112788,-0.002901902600802919,0.013705432414878944,-0.00045669051606034294,1.4234161553446738
MRNA,EQUITY,10,271,135,0.4981549815498155,126,0.47619047619047616,145,0.5172413793103449,67,0.4970414201183432,0.46745562130177515,-0.0018450184501844769,0.001113561431472343,0.030699360248040375,0.019717547191295672,-0.0007964954201513663,1.4186863088172532
MRNA,EQUITY,20,271,151,0.5571955719557196,126,0.5396825396825397,145,0.5724137931034483,65,0.49702380952380953,0.5089285714285714,0.05719557195571956,0.060171762431910025,0.04826700052714816,0.04265511532870305,0.02914350862191817,1.3268791382397969
MRVL,EQUITY,5,891,443,0.49719416386083054,559,0.5044722719141324,332,0.48493975903614456,244,0.5066079295154186,0.48226950354609927,-0.0028058361391694597,-0.009413765654588013,0.014924660314731275,0.004411516898769073,-0.0,1.2221788261748068
MRVL,EQUITY,10,890,469,0.5269662921348315,558,0.5304659498207885,332,0.5210843373493976,244,0.5097001763668431,0.5097173144876325,0.026966292134831482,0.01726611576798842,0.017248977647199015,0.007897355003590095,0.00600930200841554,1.1357385078213746
MRVL,EQUITY,20,889,483,0.5433070866141733,557,0.5816876122082585,332,0.4789156626506024,243,0.5415194346289752,0.5079646017699115,0.04330708661417326,0.0017876519851980355,0.03534248484426172,0.014870565200116941,0.011954022988505786,1.1399429773093732
MS,EQUITY,5,788,413,0.5241116751269036,499,0.5370741482965932,289,0.5017301038062284,224,0.5227272727272727,0.5084241823587711,0.024111675126903598,0.0013844023996308907,0.015687492768132527,5.864128750142425e-05,0.0028299665863118495,0.9106796942236101
MS,EQUITY,10,787,411,0.5222363405336722,498,0.5582329317269076,289,0.4602076124567474,224,0.5479723046488625,0.5084241823587711,0.022236340533672183,-0.025735964115190302,0.013812158174901112,0.0002513554733728444,0.002486531288852012,0.9233841754404957
MS,EQUITY,20,786,418,0.5318066157760815,497,0.5734406438631791,289,0.4602076124567474,223,0.557978196233895,0.4955312810327706,0.03180661577608146,-0.026171580457813537,0.03627533474331085,0.0027613513776572605,0.0056091087353558056,0.9462464142100799
MSCI,EQUITY,5,637,324,0.5086342229199372,499,0.5430861723446894,138,0.38405797101449274,142,0.5468549422336328,0.49293966623876767,0.008634222919937207,-0.03822071931369564,0.015694556681169536,-0.00031525822851610514,0.0011301756909483096,0.9440420305675608
MSCI,EQUITY,10,636,329,0.5172955974842768,499,0.5731462925851704,137,0.31386861313868614,142,0.5938303341902313,0.4800514800514801,0.01729559748427678,-0.07653473670595456,0.03724411743279671,-0.0011622699012415758,0.0021934302711213993,0.8793425779981601
MSCI,EQUITY,20,635,332,0.5228346456692914,499,0.591182364729459,136,0.27205882352941174,141,0.6237113402061856,0.5025773195876289,0.022834645669291387,-0.10087669453689418,0.02025732608166253,-0.0006269430288031408,0.003965333016739958,0.8919585673073986
MSFT,EQUITY,5,928,506,0.5452586206896551,654,0.5688073394495413,274,0.48905109489051096,207,0.5436123348017621,0.4902654867256637,0.04525862068965514,0.001646285887893062,0.054993133963991414,0.0008570459508470616,0.0031399966526177714,0.8929242824789368
MSFT,EQUITY,10,927,494,0.5329018338727076,653,0.5742725880551302,274,0.4343065693430657,207,0.5661375661375662,0.5,0.03290183387270762,-0.03323573226485854,0.03290183387270762,0.0017808411711175839,0.002541415662650648,0.971423723918998
MSFT,EQUITY,20,925,523,0.5654054054054054,651,0.620583717357911,274,0.4343065693430657,207,0.5980565371024735,0.5411868910540301,0.0654054054054054,-0.032651131697068125,0.024218514351375342,0.003313694862293152,0.008330195783132543,0.8745112462043307
