symbol,row_count,development_row_count,validation_row_count,final_holdout_row_count,nearest_destination_available_count,atr_available_count,materialization_file,materialization_sha256
ATO,220,134,65,21,220,220,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ATO.jsonl.gz,9024a66395914fa590007c994f93bc19b96310ce5016244dd05d2997d4f7bb37
AVB,324,155,84,85,324,324,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AVB.jsonl.gz,da6a166d149bd9c6fb56c17812f12b12164131f90f280dbd7c036b1d2065eed1
AVGO,103,40,51,12,103,103,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AVGO.jsonl.gz,51ab7f8cd7fc872d97965314d59b9ec7ed0e2930e0b801360d1a7b8d766ef8d3
AVY,345,193,68,84,345,345,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AVY.jsonl.gz,2dd88bc657f0cf77c1f1ca513bc6c438d07bc785357b31cae5a3b7f887ea6b1e
AWK,164,32,45,87,164,164,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AWK.jsonl.gz,45a4aacd3aa1b6c51f486ca24783815a99de32a198d9d97272408509b0114bbc
AXON,47,0,15,32,47,47,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AXON.jsonl.gz,a3cfb64233cd611fc5cede160b7acd6574f9bbe1172484c295e1be7ebff13999
AXP,277,185,58,34,277,277,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AXP.jsonl.gz,3fc976ace54cb496b023410efa8bff4e181343e4ff73d90db2f7b0722b623e6a
AZO,180,120,24,36,180,180,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AZO.jsonl.gz,5b17746765ac9d727a10cbb88d0a53073d64988395900e6631e32bfc4aad5f63
BA,321,154,107,60,321,321,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BA.jsonl.gz,fbfdfe189f22b50cc73f4edf3b6059598807425b3787777da589dbfd85f3d4cc
BAC,355,235,77,43,355,355,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BAC.jsonl.gz,48921666a91caebf834646b02b82b62754dab854b9d778b26f686a6d7b0a6d2e
BALL,60,0,0,60,60,60,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BALL.jsonl.gz,58da1b94cfba1fc6ed60361bce6efce0921b5977d3ffa12a51099c81f2122c10
BAX,356,148,100,108,356,356,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BAX.jsonl.gz,40c909b31494908c34df5695ebbcf69b4cd76aabdb6bd48fe517b386af117316
BBY,414,250,79,85,414,414,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BBY.jsonl.gz,b6ff8d368e87796e747516abbfacfc432b4fa64aaaba461d5a190a9d5f1b73ec
BDX,302,129,79,94,302,302,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BDX.jsonl.gz,aec21c7b22b87f6e8f962f4ef30a480e584c3a4cdf18b106da965e9a8af1912c
BEN,391,184,129,78,391,391,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BEN.jsonl.gz,7059225a269f6986e09731f979699213949caaf572d8bcdfa7eb2ef3042bc3c6
BF.B,383,174,88,121,382,383,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BF.B.jsonl.gz,6a5f4a56918a395c6f9fe01651b85a39e93f2c582bb35bacc5297291c7384ad0
BG,371,207,98,66,371,371,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BG.jsonl.gz,e7f78b0812adc9b5c9dc13efbebf5c36083858deb7f645d152e1392090f3c4f5
BIIB,366,166,117,83,366,366,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BIIB.jsonl.gz,efe5e80ded5e1c8e22d56ab2b78de13e1cc37b2bde237b24597cdf1f25f939f5
BITO,90,0,1,89,90,90,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BITO.jsonl.gz,1a0eb08c444cea2dea3aff9700fb2625e37f3aa014cc1c516c3973c99e103fe1
BKNG,88,0,57,31,88,88,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BKNG.jsonl.gz,be438fdcb8a42b5fb3fdd8e4f28f155f40e0b4aff4bf17e0b9d7d4e19d5b3a30
BKR,59,0,28,31,59,59,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BKR.jsonl.gz,ae506b5b1902644748e9f98d5d5268c08ccdad23ba1392b96010d3f9536eb459
BLDR,364,227,61,76,363,364,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BLDR.jsonl.gz,66aec3193d6a343efa11fd6d6e2a936f1312d75e33bb0e51a630229f0b57f571
BLK,238,124,74,40,238,238,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BLK.jsonl.gz,e156c98fc865e36f85ead3b340cf5e9c47d1f7965cb1a89b286f3474062fc09a
BMY,343,170,76,97,343,343,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BMY.jsonl.gz,3712e1853f997b55405ebd924c389c30a74ea1b60256994723d59d6887eb3279
BND,337,144,112,81,337,337,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BND.jsonl.gz,8f607f0b67b9d4336db5e583435b4a07361fa5e5ffe9540c559c5b948ac0c820
BR,174,72,58,44,174,174,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BR.jsonl.gz,bcc61924c5adb61dbc65f2fb2d4511fb7737fdd36b7b15d2f4fc809569c2179a
BRK.B,210,134,54,22,210,210,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BRK.B.jsonl.gz,ebae6e7d06b579f57ce0aa1b561d4e88b5b8d9a5c17e12e2a2f85440d010c04e
BRO,264,171,36,57,264,264,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BRO.jsonl.gz,c0d58c37718c1a18e0bc9463e206601e87600b146222d2755e3f35d2e77ee1c5
BSX,366,271,54,41,366,366,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BSX.jsonl.gz,996045dcb34c6b5666e2adbdab7de88384e4c3422c904c407f51417c8c779977
BX,251,137,64,50,251,251,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BX.jsonl.gz,0f7f0bebd1aa620a7d6c456e4a455a80f9c671865a852ad05fb95668de9666ac
BXP,362,167,105,90,362,362,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/BXP.jsonl.gz,8be4111ecf5c3f2b465c238b6c56b8eec9798fd060c2aa7d317baec825d16089
C,376,238,106,32,376,376,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/C.jsonl.gz,a269cc567c51984f3ef3e6f779b48913828e6c52010ea95cea43d432e50deb9e
CAH,335,222,99,14,335,335,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CAH.jsonl.gz,8d828e4ede78367391faec716d41f317261e978c69dfc558626b263f6ac46400
CARR,83,0,31,52,83,83,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CARR.jsonl.gz,381a85638fd53c40d7f4bebbfdc202d15b512cd4a7dedafc76cf6036ce0a89df
CASY,188,133,49,6,188,188,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CASY.jsonl.gz,674e3ca1fb6ca3285f4e0884e15b057fae09d0d65c44150591d4972a31496a81
CAT,306,198,79,29,306,306,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CAT.jsonl.gz,f8ac82e58a5241b31e85e6d276033d00dee4c9c022ed9fc5f3f3ea0f711edab8
