symbol,asset_type,cadence,status,replay_start,replay_end,observation_count,replayed_profile_count,native_not_eligible_count,source_data_sha256,result_sha256,resumed,blockers
DDOG,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DDOG 2020-11-27: native profile missing direction/score/confidence
DE,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DE 2004-11-19: native profile missing direction/score/confidence
DECK,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DECK 2004-11-19: native profile missing direction/score/confidence
DELL,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DELL 2020-03-13: native profile missing direction/score/confidence
DG,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DG 2011-01-28: native profile missing direction/score/confidence
DGX,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DGX 2004-11-19: native profile missing direction/score/confidence
DHI,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DHI 2004-11-19: native profile missing direction/score/confidence
DHR,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DHR 2004-11-19: native profile missing direction/score/confidence
DIA,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DIA 2004-11-19: native profile missing direction/score/confidence
DIS,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DIS 2004-11-19: native profile missing direction/score/confidence
DLR,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DLR 2006-01-06: native profile missing direction/score/confidence
DLTR,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DLTR 2004-11-19: native profile missing direction/score/confidence
DOC,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DOC 2025-05-16: native profile missing direction/score/confidence
DOV,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DOV 2004-11-19: native profile missing direction/score/confidence
DOW,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DOW 2020-06-12: native profile missing direction/score/confidence
DPZ,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DPZ 2005-09-16: native profile missing direction/score/confidence
DRI,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DRI 2004-11-19: native profile missing direction/score/confidence
DTE,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DTE 2004-11-19: native profile missing direction/score/confidence
DUK,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DUK 2004-11-19: native profile missing direction/score/confidence
DVA,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DVA 2004-11-19: native profile missing direction/score/confidence
DVN,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DVN 2004-11-19: native profile missing direction/score/confidence
DXCM,,WEEKLY,REPLAY_FAILED,,,,,,,,False,DXCM 2006-06-23: native profile missing direction/score/confidence
EA,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EA 2013-03-08: native profile missing direction/score/confidence
EBAY,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EBAY 2004-11-19: native profile missing direction/score/confidence
ECL,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ECL 2004-11-19: native profile missing direction/score/confidence
ED,,WEEKLY,REPLAY_FAILED,,,,,,,,False,ED 2004-11-19: native profile missing direction/score/confidence
EEM,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EEM 2004-11-19: native profile missing direction/score/confidence
EFA,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EFA 2004-11-19: native profile missing direction/score/confidence
EFX,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EFX 2004-11-19: native profile missing direction/score/confidence
