symbol,entry_date,exit_date,strategy,signal,strike,expiry,entry_price,exit_price,contracts,pnl,pnl_pct,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
AAPL,2026-03-26,2026-04-05,LONG_PUT,PUT,248.8,STOCK_PROXY,248.8,258.86,1,-1007.4000000000002,-0.040490353697749205,217.0000000000016,-1006.0000000000002,10,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-03-26,2026-03-30,LONG_PUT,PUT,199.34,STOCK_PROXY,199.34,208.27,1,-894.4000000000007,-0.04486806461322367,0.0,-893.0000000000007,4,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-29,2026-03-31,LONG_PUT,PUT,246.63,STOCK_PROXY,246.63,255.63,1,-901.4,-0.03654867615456352,0.0,-900.0,2,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-03-29,2026-03-30,LONG_PUT,PUT,200.95,STOCK_PROXY,200.95,208.27,1,-733.4000000000021,-0.036496640955461665,0.0,-732.0000000000022,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-30,2026-04-14,LONG_PUT,PUT,253.79,STOCK_PROXY,253.79,266.43,1,-1265.4000000000015,-0.04986012057212662,28.999999999999204,-1264.0000000000014,15,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-04-12,2026-04-21,LONG_CALL,CALL,239.89,STOCK_PROXY,239.89,255.36,1,1545.6000000000026,0.06442953020134239,1547.0000000000027,0.0,9,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
AMZN,2026-04-14,2026-04-23,LONG_CALL,CALL,248.5,STOCK_PROXY,248.5,263.99,1,1547.6000000000008,0.06227766599597589,1549.000000000001,-21.999999999999886,9,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
AMZN,2026-04-15,2026-04-23,LONG_CALL,CALL,249.7,STOCK_PROXY,249.7,263.99,1,1427.600000000002,0.05717260712855434,1429.000000000002,-141.99999999999875,8,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
AMZN,2026-04-16,2026-04-23,LONG_CALL,CALL,250.56,STOCK_PROXY,250.56,263.99,1,1341.6000000000006,0.053544061302682015,1343.0000000000007,-228.0000000000001,7,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
AAPL,2026-04-19,2026-05-03,LONG_CALL,CALL,273.05,STOCK_PROXY,273.05,276.83,1,376.5999999999973,0.013792345724226234,708.9999999999975,-687.9999999999995,14,TIME_STOP,70.0,70.0,0.0,0.0,100.0
AMZN,2026-04-19,2026-04-23,LONG_CALL,CALL,248.28,STOCK_PROXY,248.28,263.99,1,1569.6000000000008,0.06321894635089419,1571.000000000001,0.0,4,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
AMZN,2026-04-20,2026-04-23,LONG_CALL,CALL,249.91,STOCK_PROXY,249.91,263.99,1,1406.6000000000013,0.05628426233444045,1408.0000000000014,0.0,3,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
AMZN,2026-04-21,2026-04-30,LONG_CALL,CALL,255.36,STOCK_PROXY,255.36,268.26,1,1288.5999999999976,0.05046209273182948,1289.9999999999977,-28.000000000000114,9,TAKE_PROFIT,60.0,60.0,0.0,0.0,100.0
AAPL,2026-04-22,2026-05-05,LONG_CALL,CALL,273.43,STOCK_PROXY,273.43,287.51,1,1406.5999999999983,0.051442782430603747,1407.9999999999984,-581.9999999999993,13,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
AMZN,2026-04-22,2026-04-30,LONG_CALL,CALL,255.08,STOCK_PROXY,255.08,268.26,1,1316.5999999999976,0.05161517955151316,1317.9999999999977,0.0,8,TAKE_PROFIT,80.0,80.0,0.0,0.0,100.0
AAPL,2026-04-23,2026-05-05,LONG_CALL,CALL,271.06,STOCK_PROXY,271.06,287.51,1,1643.5999999999988,0.060636021545045334,1644.9999999999989,-344.99999999999886,12,TAKE_PROFIT,70.0,70.0,0.0,0.0,100.0
AMZN,2026-04-23,2026-05-07,LONG_CALL,CALL,263.99,STOCK_PROXY,263.99,272.68,1,867.5999999999998,0.032864881245501715,1100.0,-429.00000000000205,14,TIME_STOP,60.0,60.0,0.0,0.0,100.0
AMZN,2026-04-26,2026-05-05,LONG_CALL,CALL,261.12,STOCK_PROXY,261.12,274.99,1,1385.6000000000004,0.05306372549019609,1387.0000000000005,-142.0000000000016,9,TAKE_PROFIT,80.0,80.0,0.0,0.0,100.0
AMZN,2026-04-27,2026-05-04,LONG_CALL,CALL,259.7,STOCK_PROXY,259.7,273.55,1,1383.6000000000022,0.053276857912976594,1385.0000000000023,0.0,7,TAKE_PROFIT,80.0,80.0,0.0,0.0,100.0
AMZN,2026-04-28,2026-05-12,LONG_CALL,CALL,263.04,STOCK_PROXY,263.04,270.13,1,707.5999999999975,0.026900851581508418,1194.9999999999989,0.0,14,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AMZN,2026-04-29,2026-05-13,LONG_CALL,CALL,265.06,STOCK_PROXY,265.06,267.22,1,214.6000000000025,0.008096280087527446,993.0000000000007,0.0,14,TIME_STOP,80.0,80.0,0.0,0.0,100.0
