symbol,evaluated_rows,invalid_price_rows,invalid_ohlc_rows,negative_volume_rows,zero_volume_rows,non_finite_rows,extreme_return_rows,maximum_absolute_return,quality_score,status,warnings,rejection_reasons
EQR,252,0,0,0,0,0,0,0.04541081,100.0,READY,,
EQT,252,0,0,0,0,0,0,0.09545528,100.0,READY,,
ERIE,252,0,0,0,0,0,0,0.11858933,100.0,READY,,
ES,252,0,0,0,0,0,0,0.1244969,100.0,READY,,
ESS,252,0,0,0,0,0,0,0.07640975,100.0,READY,,
ETHA,252,0,0,0,0,0,0,0.14558546,100.0,READY,,
ETN,252,0,0,0,0,0,0,0.07357833,100.0,READY,,
ETR,252,0,0,0,0,0,0,0.06824807,100.0,READY,,
EVRG,252,0,0,0,0,0,0,0.02911424,100.0,READY,,
EW,252,0,0,0,0,0,0,0.06202367,100.0,READY,,
EWJ,252,0,0,0,0,0,0,0.04809529,100.0,READY,,
EWZ,252,0,0,0,0,0,0,0.0630761,100.0,READY,,
EXC,252,0,0,0,0,0,0,0.06974125,100.0,READY,,
EXE,252,0,0,0,0,0,0,0.08495946,100.0,READY,,
EXPD,252,0,0,0,0,0,0,0.13175614,100.0,READY,,
EXPE,252,0,0,0,0,0,0,0.17546656,100.0,READY,,
EXR,252,0,1,0,0,0,0,0.100308,95.0,REVIEW,1 rows violate OHLC relationships.,
F,252,0,1,0,0,0,0,0.13177648,95.0,REVIEW,1 rows violate OHLC relationships.,
FANG,252,0,0,0,0,0,0,0.05383641,100.0,READY,,
FAST,252,0,0,0,0,0,0,0.07536035,100.0,READY,,
FBTC,252,0,0,0,0,0,0,0.13223788,100.0,READY,,
FCX,252,0,0,0,0,0,0,0.16953268,100.0,READY,,
FDS,252,0,0,0,0,0,0,0.10965337,100.0,READY,,
FDX,252,0,0,0,0,0,0,0.09111685,100.0,READY,,
FDXF,37,0,0,0,0,0,0,0.22516556,100.0,READY,,
FE,252,0,0,0,0,0,0,0.03270443,100.0,READY,,
FER,252,0,0,0,0,0,0,0.05911636,100.0,READY,,
FFIV,252,0,0,0,0,0,0,0.10702946,100.0,READY,,
FICO,252,0,0,0,0,0,0,0.17978998,100.0,READY,,
FIS,252,0,0,0,0,0,0,0.09165483,100.0,READY,,
FISV,252,0,0,0,0,0,0,0.44043751,100.0,READY,,
FITB,252,0,0,0,0,0,0,0.0596458,100.0,READY,,
FIX,252,0,0,0,0,0,0,0.2237087,100.0,READY,,
FLEX,252,0,0,0,0,0,0,0.39688958,100.0,READY,,
FOX,252,0,0,0,0,0,0,0.15215541,100.0,READY,,
FOXA,252,0,0,0,0,0,0,0.16841307,100.0,READY,,
FRT,252,0,0,0,0,0,0,0.03985571,100.0,READY,,
FSLR,252,0,0,0,0,0,0,0.14282045,100.0,READY,,
FTNT,252,0,0,0,0,0,0,0.22033546,100.0,READY,,
FTV,252,0,1,0,0,0,0,0.1063478,95.0,REVIEW,1 rows violate OHLC relationships.,
FXI,252,0,0,0,0,0,0,0.05381379,100.0,READY,,
GD,252,0,0,0,0,0,0,0.07985851,100.0,READY,,
GDDY,252,0,0,0,0,0,0,0.14279523,100.0,READY,,
GDX,252,0,0,0,0,0,0,0.12761628,100.0,READY,,
GDXJ,252,0,0,0,0,0,0,0.13634464,100.0,READY,,
GE,252,0,0,0,0,0,0,0.07378336,100.0,READY,,
GEHC,252,0,0,0,0,0,0,0.13160583,100.0,READY,,
GEN,252,0,0,0,0,0,0,0.12332837,100.0,READY,,
GEV,252,0,0,0,0,0,0,0.15624502,100.0,READY,,
GILD,252,0,0,0,0,0,0,0.08278931,100.0,READY,,
GIS,252,0,0,0,0,0,0,0.08534486,100.0,READY,,
GL,252,0,0,0,0,0,0,0.067904,100.0,READY,,
GLD,252,0,0,0,0,0,0,0.10274245,100.0,READY,,
GLW,252,0,0,0,0,0,0,0.15670662,100.0,READY,,
GM,252,0,0,0,0,0,0,0.14862074,100.0,READY,,
GNRC,252,0,0,0,0,0,0,0.19614057,100.0,READY,,
GOOG,252,0,0,0,0,0,0,0.09970921,100.0,READY,,
GOOGL,252,0,0,0,0,0,0,0.09961703,100.0,READY,,
GPC,252,0,0,0,0,0,0,0.14555589,100.0,READY,,
GPN,252,0,0,0,0,0,0,0.16468405,100.0,READY,,
GRMN,252,0,0,0,0,0,0,0.11479703,100.0,READY,,
GS,252,0,0,0,0,0,0,0.0899599,100.0,READY,,
GWW,252,0,0,0,0,0,0,0.10302637,100.0,READY,,
HACK,252,0,0,0,0,0,0,0.05826589,100.0,READY,,
HAL,252,0,0,0,0,0,0,0.11582665,100.0,READY,,
HAS,252,0,0,0,0,0,0,0.08828979,100.0,READY,,
HBAN,252,0,0,0,0,0,0,0.06020251,100.0,READY,,
HCA,252,0,0,0,0,0,0,0.08769489,100.0,READY,,
HD,252,0,0,0,0,0,0,0.06019045,100.0,READY,,
HIG,252,0,0,0,0,0,0,0.03877447,100.0,READY,,
HII,252,0,0,0,0,0,0,0.10592053,100.0,READY,,
HLT,252,0,0,0,0,0,0,0.04977498,100.0,READY,,
HON,252,0,0,0,0,0,0,0.06805093,100.0,READY,,
HONA,24,0,0,0,0,0,0,0.34975006,100.0,READY,,
HOOD,252,0,0,0,0,0,0,0.15832098,100.0,READY,,
HPE,252,0,0,0,0,0,0,0.19468088,100.0,READY,,
HPQ,252,0,0,0,0,0,0,0.15251143,100.0,READY,,
HRL,252,0,0,0,0,0,0,0.13094421,100.0,READY,,
HSIC,252,0,0,0,0,0,0,0.10782799,100.0,READY,,
HST,252,0,0,0,0,0,0,0.06847629,100.0,READY,,
HSY,252,0,0,0,0,0,0,0.09033487,100.0,READY,,
HUBB,252,0,0,0,0,0,0,0.06916634,100.0,READY,,
HUM,252,0,0,0,0,0,0,0.211281,100.0,READY,,
HWM,252,0,0,0,0,0,0,0.06454228,100.0,READY,,
HYG,252,0,0,0,0,0,0,0.00951656,100.0,READY,,
IAU,252,0,0,0,0,0,0,0.1020971,100.0,READY,,
