date,equity,peak_equity,drawdown_dollars,drawdown_pct
2026-04-28,76283.93275922567,121046.12280566714,-44762.190046441465,-0.3697944965846175
2026-04-29,77878.55853450042,121046.12280566714,-43167.56427116672,-0.35662079272435565
2026-04-30,80598.4214268381,121046.12280566714,-40447.701378829035,-0.33415115198498
2026-05-03,83908.59165811489,121046.12280566714,-37137.53114755225,-0.30680479710345204
2026-05-04,90648.61031172847,121046.12280566714,-30397.512493938673,-0.2511233882537502
2026-05-04,91690.02647872765,121046.12280566714,-29356.096326939485,-0.24251992254282342
2026-05-05,92681.8532238717,121046.12280566714,-28364.269581795437,-0.234326130605048
2026-05-06,90327.58300434855,121046.12280566714,-30718.53980131859,-0.25377549556573165
2026-05-07,95281.70038733758,121046.12280566714,-25764.42241832956,-0.21284797745808773
2026-05-07,100393.51415097427,121046.12280566714,-20652.60865469287,-0.17061768007100478
2026-05-07,101524.37702052345,121046.12280566714,-19521.745785143692,-0.16127526708546275
2026-05-10,101008.76130698241,121046.12280566714,-20037.361498684724,-0.16553493027491348
2026-05-10,98719.72203519571,121046.12280566714,-22326.40077047143,-0.184445401909446
2026-05-11,100261.18875403125,121046.12280566714,-20784.934051635893,-0.17171086169364513
2026-05-11,98074.34590980166,121046.12280566714,-22971.776895865478,-0.18977705657491728
2026-05-12,101110.58667427115,121046.12280566714,-19935.536131395987,-0.16469371896695434
2026-05-12,104969.29193915405,121046.12280566714,-16076.83086651309,-0.1328157440641329
2026-05-13,104439.31919503346,121046.12280566714,-16606.80361063368,-0.1371940151878717
2026-05-13,102393.14023719888,121046.12280566714,-18652.98256846826,-0.15409814156885132
2026-05-14,103734.65878625363,121046.12280566714,-17311.464019413514,-0.14301543591946445
2026-05-17,102210.73793028384,121046.12280566714,-18835.3848753833,-0.15560502425693115
2026-05-17,102672.87902088818,121046.12280566714,-18373.243784778955,-0.1517871317057894
2026-05-18,103349.10946216245,121046.12280566714,-17697.01334350469,-0.14620057985596338
2026-05-18,100105.36451359002,121046.12280566714,-20940.758292077124,-0.17299817463543507
2026-05-19,102459.18147408897,121046.12280566714,-18586.94133157817,-0.15355255418976516
2026-05-20,104365.87420145707,121046.12280566714,-16680.248604210065,-0.1378007673239504
2026-05-21,107177.42424982521,121046.12280566714,-13868.698555841926,-0.11457367022079142
2026-05-25,106751.01185101419,121046.12280566714,-14295.110954652948,-0.11809639683877325
2026-05-26,108476.23493031014,121046.12280566714,-12569.887875357002,-0.1038437876737057
2026-05-27,109536.58693769969,121046.12280566714,-11509.535867967454,-0.09508388704399379
2026-05-28,109134.39669317864,121046.12280566714,-11911.726112488497,-0.09840650684542879
2026-05-31,106116.75194491204,121046.12280566714,-14929.370860755094,-0.12333621692884268
